80743	80842	100
80843	80896	54
80897	80922	26
80923	80971	49
80972	81028	57
81029	81047	19
81048	81079	32
81080	81128	49
81129	81260	132
81261	81278	18
81279	81693	415
81694	82728	1035
82729	84703	1975
84704	84833	130
84834	84869	36
84870	84907	38
84908	85264	357
85265	85420	156
85421	85494	74
85495	85531	37
85532	85556	25
85557	85905	349
85906	85941	36
85942	86050	109
86051	86122	72
86123	86706	584
86707	86772	66
86773	86831	59
86832	86870	39
86871	86956	86
86957	87029	73
87030	87084	55
87085	87093	9
87094	87108	15
87109	87135	27
87136	87151	16
87152	87195	44
87196	87352	157
87353	87492	140
87493	87536	44
87537	87610	74
87611	87692	82
87693	87800	108
87801	88015	215
88016	88081	66
88082	88716	635
88717	88979	263
88980	89102	123
89103	89164	62
89165	89398	234
89399	89454	56
89455	89559	105
89560	89641	82
89642	89753	112
89754	89820	67
89821	89894	74
89895	90065	171
90066	90170	105
90171	90249	79
90250	90605	356
90606	90671	66
90672	90932	261
90933	91290	358
91291	91535	245
91536	91536	1
91537	91644	108
91645	91740	96
91741	91854	114
91855	92036	182
92037	93416	1380
93417	93621	205
93622	94751	1130
94752	94950	199
94951	96185	1235
96186	96392	207
96393	96711	319
96712	96930	219
96931	97921	991
97922	98198	277
98199	98940	742
98941	99107	167
99108	99293	186
99294	99737	444
99738	99773	36
99774	99858	85
99859	99872	14
99873	99904	32
99905	99923	19
99924	100153	230
100154	100307	154
100308	100416	109
100417	101636	1220
101637	101717	81
101718	101813	96
101814	101872	59
101873	101906	34
101907	102060	154
102061	102105	45
102106	102261	156
102262	102377	116
102378	102477	100
102478	102524	47
102525	102974	450
102975	104187	1213
104188	104310	123
104311	104378	68
104379	104513	135
104514	104596	83
104597	104675	79
104676	104716	41
104717	104804	88
104805	104846	42
104847	104941	95
104942	105193	252
105194	105311	118
105312	105973	662
105974	106105	132
106106	107660	1555
107661	107775	115
107776	107896	121
107897	108294	398
108295	108627	333
108628	108722	95
108723	108859	137
108860	109002	143
109003	109155	153
109156	109412	257
109413	112098	2686
112099	112470	372
112471	112591	121
112592	112706	115
112707	112787	81
112788	112917	130
112918	112975	58
112976	113154	179
113155	115518	2364
115519	118806	3288
118807	118952	146
118953	118968	16
118969	119017	49
119018	119092	75
119093	119233	141
119234	119341	108
119342	119385	44
119386	119537	152
119538	119567	30
119568	119654	87
119655	119754	100
119755	119864	110
119865	119929	65
119930	119980	51
119981	120146	166
120147	120166	20
120167	120267	101
120268	120404	137
120405	120617	213
120618	120900	283
120901	121239	339
121240	122308	1069
122309	122365	57
122366	122404	39
122405	122442	38
122443	122520	78
122521	122590	70
122591	122683	93
122684	122754	71
122755	123281	527
123282	123367	86
123368	123447	80
123448	123527	80
123528	123606	79
123607	123679	73
123680	123776	97
123777	123813	37
123814	123827	14
123828	123828	1
123829	123829	1
123830	123830	1
123831	123831	1
123832	123834	3
123835	123904	70
123905	123995	91
123996	124057	62
124058	124993	936
124994	125086	93
125087	125157	71
125158	125160	3
125161	125330	170
125331	125418	88
125419	125485	67
125486	125626	141
125627	125716	90
125717	125899	183
125900	126052	153
126053	126177	125
126178	126632	455
126633	126853	221
126854	126933	80
126934	127246	313
127247	128604	1358
128605	129529	925
129530	129619	90
129620	129797	178
129798	129963	166
129964	130045	82
130046	130238	193
130239	130284	46
130285	130401	117
130402	130477	76
130478	130773	296
130774	130826	53
130827	130950	124
130951	131007	57
131008	131329	322
131330	131398	69
